Items,JSON,JSONB,JSONB No Structs,JSONB64,JSONB64 No Structs
1,113,80,111,109,149
2,215,137,172,185,233
3,317,194,233,261,313
4,422,253,296,341,397
5,540,325,372,437,497
6,652,391,442,525,593
7,764,458,513,613,685
8,866,515,574,689,769
9,978,582,645,777,861
10,1091,650,717,869,957
11,1192,706,777,945,1037
12,1314,783,858,1045,1145
13,1426,850,929,1137,1241
14,1543,921,1004,1229,1341
15,1651,984,1071,1313,1429
16,1754,1042,1133,1393,1513
17,1859,1101,1196,1469,1597
18,1960,1156,1255,1545,1677
19,2064,1214,1317,1621,1757
20,2170,1274,1381,1701,1845
21,2288,1347,1458,1797,1945
22,2383,1397,1512,1865,2017
23,2495,1464,1583,1953,2113
24,2603,1527,1650,2037,2201
25,2716,1595,1722,2129,2297
26,2825,1659,1790,2213,2389
27,2925,1714,1849,2289,2469
28,3033,1777,1916,2373,2557
29,3150,1849,1992,2469,2657
30,3253,1907,2054,2545,2741
31,3348,1955,2106,2609,2809
32,3466,2028,2183,2705,2913
33,3568,2081,2240,2777,2989
34,3680,2148,2311,2865,3085
35,3788,2211,2378,2949,3173
36,3897,2275,2446,3037,3265
37,4002,2335,2510,3117,3349
38,4098,2386,2565,3185,3421
39,4203,2446,2629,3265,3509
40,4305,2503,2690,3341,3589
41,4406,2559,2750,3413,3669
42,4508,2616,2811,3489,3749
43,4613,2676,2875,3569,3837
44,4724,2742,2945,3657,3929
45,4820,2793,3000,3725,4001
46,4929,2857,3068,3813,4093
47,5035,2918,3133,3893,4181
48,5137,2975,3194,3969,4261
49,5240,3033,3256,4045,4345
50,5345,3093,3320,4125,4429
51,5442,3145,3376,4197,4505
52,5551,3209,3444,4281,4593
53,5669,3282,3521,4377,4697
54,5780,3348,3591,4465,4789
55,5880,3403,3650,4541,4869
56,5988,3462,3713,4617,4953
57,6091,3520,3775,4697,5037
58,6198,3582,3841,4777,5125
59,6302,3641,3904,4857,5209
60,6405,3699,3966,4933,5289
61,6505,3754,4025,5009,5369
62,6605,3809,4087,5081,5453
63,6704,3863,4147,5153,5533
64,6821,3938,4225,5253,5637
65,6941,4015,4306,5357,5745
66,7047,4075,4370,5437,5829
67,7151,4136,4435,5517,5917
68,7263,4205,4508,5609,6013
